"","emp_percent","excl_percent","earn_ratio","pc_live","pc_secure","pc_voted","pc_voted.1","hp_ratio","AccScore","Cluster","include"
"E01006163",80.8429118773946,4.31090790333116,3.6781201171875,85.2901484480432,90.2325581395349,87.7049180327869,77.3770491803279,8.96494806948908,1,3,"YES"
"E01006164",75.8024691358025,5.16631280962491,3.8731094750135,85.6046065259117,89.7271268057785,78.3905967450271,78.3905967450271,13.4088326988305,3,2,"YES"
"E01006165",80.3191489361702,6.23864324651726,3.14088397790055,83.6734693877551,90.9698996655518,84.6860643185299,76.2633996937213,9.30519000709017,2,3,"YES"
"E01006166",72.972972972973,7.54567116759333,4.39878642149257,77.8640776699029,89.8648648648649,74.7738693467337,73.2663316582915,10.8952508427523,2,4,"YES"
"E01006167",60.2684563758389,13.9337952270978,3.72111021230702,72.6392251815981,94.1558441558442,67.0353982300885,62.9424778761062,11.8535450333685,0,1,"YES"
"E01006168",59.7560975609756,13.7737174982431,3.52627704326923,71.3024282560706,91.1242603550296,75.9467758444217,61.3101330603889,7.66427050895043,3,1,"YES"
"E01006169",78.7114845938375,4.17933130699088,3.89678637170726,85.2140077821012,93.0693069306931,76.4196342637151,76.8046198267565,11.1829515373561,2,3,"YES"
"E01006170",79.8050139275766,5.06430868167203,3.87430931086283,83.0677290836653,91.0596026490066,79.0554414784394,75.8726899383984,13.0234259259259,2,3,"YES"
"E01006171",66.9047619047619,10.9195402298851,4.2089778115943,78.1312127236581,93.8250428816467,70.6280193236715,64.6376811594203,9.05553847316308,2,4,"YES"
"E01006172",73.2223903177005,5.60897435897436,3.73392273887192,86.3636363636364,90.978886756238,77.9904306220096,81.3397129186603,13.8553333333333,1,2,"YES"
"E01006173",80.8238636363636,3.88185654008439,3.8318860529261,82.6325411334552,90.8943089430894,79.2099792099792,78.3783783783784,11.3731666666667,1,3,"YES"
"E01006174",77.560414269275,5.5858310626703,3.869935716409,86.9346733668342,87.6770538243626,81.1129848229342,78.4148397976391,11.4609610017289,1,2,"YES"
"E01006175",63.6363636363636,9.94644223412395,4.19884573100236,74.2092457420924,92.2246220302376,63.9153439153439,65.6084656084656,9.52911458333333,0,1,"YES"
"E01006176",77.4397972116603,5.66860465116279,3.85299219822286,81.0760667903525,91.0658307210031,79.5518207282913,74.9766573295985,10.91974747524,1,3,"YES"
"E01006177",67.8217821782178,10.2212051868802,3.76222222222222,79.002079002079,90.0181488203267,74.870734229576,69.3898655635988,8.98997732426304,3,4,"YES"
"E01006178",77.6688453159042,4.03172504957039,3.8935396359045,84.4135802469136,90.3485254691689,81.3311688311688,77.1915584415584,10.9054096815089,1,3,"YES"
"E01006179",70.6877113866967,9.53020134228188,3.93956264104616,80.2447552447552,90.0611620795107,73.3217088055798,72.2755013077594,9.94680999581181,1,4,"YES"
"E01006180",75.8793969849246,7.35099337748344,3.82036675347222,81.203007518797,92.2060766182299,79.6684118673648,71.3787085514834,8.47002171847835,0,4,"YES"
"E01006181",66.6666666666667,8.32678711704635,3.99549094649038,79.2207792207792,88.7067395264117,73.0808597748209,71.4431934493347,9.7151959690646,0,4,"YES"
"E01006182",71.4659685863874,7.02614379084967,3.92473268289171,80.511811023622,91.5951972555746,75.2577319587629,74.7422680412371,10.6830448538991,1,3,"YES"
"E01006183",76.2081784386617,5.03003003003003,3.84629115695622,79.3738489871087,91.4927768860353,73.8921001926782,74.2774566473989,11.6802290227061,0,3,"YES"
"E01006184",68.2808716707022,7.98916723087339,3.93258426966292,82.1285140562249,92.1739130434783,74.4796380090498,71.6742081447964,8.52478632478632,0,4,"YES"
"E01006185",63.3469387755102,12.3790117167601,3.53229597382189,78.486646884273,86.8725868725869,74.0740740740741,64.4880174291939,5.96188851627583,0,5,"YES"
"E01006186",72.4922440537746,8.29462508294625,3.17782509521101,79.6445880452342,92.1875,76.678445229682,68.3745583038869,6.88879642887099,0,4,"YES"
"E01006187",72.6784343821949,8.97043832823649,3.14795383001049,81.1342592592593,92.0618556701031,79.9194089993284,69.5768972464741,8.07280429702407,0,4,"YES"
"E01006188",65.1869158878505,9.73520249221184,3.69229356398712,81.4254859611231,90.2573529411765,75.3112033195021,70.3319502074689,7.66564723835329,0,4,"YES"
