"num_priority_groups","run_id","count","hh_income","SF_12_MCS","total_cost","mean_cost"
2,10,582,1094.02812223073,46.0711516494218,0,0
3,10,55,942.978806072301,45.4851215463207,0,0
NA,10,20221,1726.09565309581,47.100226975537,0,0
1,11,6665,1581.57909847858,45.9853081785678,0,0
2,11,582,1094.02812223073,46.0711516494218,0,0
3,11,55,942.978806072301,45.4851215463207,0,0
NA,11,20221,1726.09565309581,47.100226975537,0,0
1,12,6665,1581.57909847858,45.9853081785678,0,0
2,12,582,1094.02812223073,46.0711516494218,0,0
3,12,55,942.978806072301,45.4851215463207,0,0
NA,12,20221,1726.09565309581,47.100226975537,0,0
1,13,6665,1581.57909847858,45.9853081785678,0,0
2,13,582,1094.02812223073,46.0711516494218,0,0
3,13,55,942.978806072301,45.4851215463207,0,0
NA,13,20221,1726.09565309581,47.100226975537,0,0
1,14,6665,1581.57909847858,45.9853081785678,0,0
2,14,582,1094.02812223073,46.0711516494218,0,0
3,14,55,942.978806072301,45.4851215463207,0,0
NA,14,20221,1726.09565309581,47.100226975537,0,0
1,15,6665,1581.57909847858,45.9853081785678,0,0
2,15,582,1094.02812223073,46.0711516494218,0,0
3,15,55,942.978806072301,45.4851215463207,0,0
NA,15,20221,1726.09565309581,47.100226975537,0,0
1,16,6665,1581.57909847858,45.9853081785678,0,0
2,16,582,1094.02812223073,46.0711516494218,0,0
3,16,55,942.978806072301,45.4851215463207,0,0
NA,16,20221,1726.09565309581,47.100226975537,0,0
1,17,6665,1581.57909847858,45.9853081785678,0,0
2,17,582,1094.02812223073,46.0711516494218,0,0
3,17,55,942.978806072301,45.4851215463207,0,0
NA,17,20221,1726.09565309581,47.100226975537,0,0
1,18,6665,1581.57909847858,45.9853081785678,0,0
2,18,582,1094.02812223073,46.0711516494218,0,0
3,18,55,942.978806072301,45.4851215463207,0,0
NA,18,20221,1726.09565309581,47.100226975537,0,0
1,19,6665,1581.57909847858,45.9853081785678,0,0
2,19,582,1094.02812223073,46.0711516494218,0,0
3,19,55,942.978806072301,45.4851215463207,0,0
NA,19,20221,1726.09565309581,47.100226975537,0,0
1,20,6665,1581.57909847858,45.9853081785678,0,0
2,20,582,1094.02812223073,46.0711516494218,0,0
3,20,55,942.978806072301,45.4851215463207,0,0
NA,20,20221,1726.09565309581,47.100226975537,0,0
1,21,6665,1581.57909847858,45.9853081785678,0,0
2,21,582,1094.02812223073,46.0711516494218,0,0
3,21,55,942.978806072301,45.4851215463207,0,0
NA,21,20221,1726.09565309581,47.100226975537,0,0
1,22,6665,1581.57909847858,45.9853081785678,0,0
2,22,582,1094.02812223073,46.0711516494218,0,0
3,22,55,942.978806072301,45.4851215463207,0,0
NA,22,20221,1726.09565309581,47.100226975537,0,0
1,23,6665,1581.57909847858,45.9853081785678,0,0
2,23,582,1094.02812223073,46.0711516494218,0,0
3,23,55,942.978806072301,45.4851215463207,0,0
NA,23,20221,1726.09565309581,47.100226975537,0,0
1,24,6665,1581.57909847858,45.9853081785678,0,0
2,24,582,1094.02812223073,46.0711516494218,0,0
3,24,55,942.978806072301,45.4851215463207,0,0
NA,24,20221,1726.09565309581,47.100226975537,0,0
1,25,6665,1581.57909847858,45.9853081785678,0,0
2,25,582,1094.02812223073,46.0711516494218,0,0
3,25,55,942.978806072301,45.4851215463207,0,0
NA,25,20221,1726.09565309581,47.100226975537,0,0
1,26,6665,1581.57909847858,45.9853081785678,0,0
2,26,582,1094.02812223073,46.0711516494218,0,0
3,26,55,942.978806072301,45.4851215463207,0,0
NA,26,20221,1726.09565309581,47.100226975537,0,0
1,27,6665,1581.57909847858,45.9853081785678,0,0
2,27,582,1094.02812223073,46.0711516494218,0,0
3,27,55,942.978806072301,45.4851215463207,0,0
NA,27,20221,1726.09565309581,47.100226975537,0,0
1,28,6665,1581.57909847858,45.9853081785678,0,0
2,28,582,1094.02812223073,46.0711516494218,0,0
3,28,55,942.978806072301,45.4851215463207,0,0
NA,28,20221,1726.09565309581,47.100226975537,0,0
1,29,6665,1581.57909847858,45.9853081785678,0,0
2,29,582,1094.02812223073,46.0711516494218,0,0
3,29,55,942.978806072301,45.4851215463207,0,0
NA,29,20221,1726.09565309581,47.100226975537,0,0
1,30,6665,1581.57909847858,45.9853081785678,0,0
2,30,582,1094.02812223073,46.0711516494218,0,0
3,30,55,942.978806072301,45.4851215463207,0,0
NA,30,20221,1726.09565309581,47.100226975537,0,0
1,31,6665,1581.57909847858,45.9853081785678,0,0
2,31,582,1094.02812223073,46.0711516494218,0,0
3,31,55,942.978806072301,45.4851215463207,0,0
NA,31,20221,1726.09565309581,47.100226975537,0,0
1,32,6665,1581.57909847858,45.9853081785678,0,0
2,32,582,1094.02812223073,46.0711516494218,0,0
3,32,55,942.978806072301,45.4851215463207,0,0
NA,32,20221,1726.09565309581,47.100226975537,0,0
1,33,6665,1581.57909847858,45.9853081785678,0,0
