,LSOA11CD
213495,S01010419
213496,S01010417
213497,S01010416
213498,S01010404
213499,S01010412
213500,S01010413
213501,S01010467
213502,S01010363
213503,S01010366
213504,S01009780
213505,S01010366
213506,S01010367
213507,S01010268
213508,S01010367
213509,S01010367
213510,S01010368
213511,S01010368
213512,S01010365
213513,S01010365
213514,S01010413
213515,S01010413
213516,S01010413
213517,S01010409
213518,S01010475
213519,S01010463
213520,S01010369
213521,S01010465
213522,S01010346
213523,S01009887
213524,S01010033
213525,S01010030
213526,S01010391
213527,S01010231
213528,S01010231
213529,S01010217
213530,S01010212
213531,S01010169
213532,S01009878
213533,S01009930
213534,S01009899
213535,S01009946
213536,S01009861
213537,S01009859
213538,S01010222
213539,S01010224
213540,S01009895
213541,S01010272
213542,S01009936
213543,S01009948
213544,S01010481
213545,S01010444
213546,S01010445
213547,S01010435
213548,S01010488
213549,S01010499
213550,S01010493
213551,S01010495
213552,S01010495
213553,S01010495
213554,S01010493
213555,S01010492
213556,S01010492
213557,S01010500
213558,S01009767
213559,S01009767
213560,S01009764
213561,S01009767
213562,S01009776
213563,S01009776
213564,S01009776
213565,S01009776
213566,S01009779
213567,S01010197
213568,S01010083
213569,S01010092
213570,S01010091
213571,S01010496
213572,S01010496
213573,S01010493
213574,S01010491
213575,S01010496
213576,S01010492
213577,S01010492
213578,S01010500
213579,S01010501
213580,S01010497
213581,S01010502
213582,S01010199
213583,S01010205
213584,S01010313
213585,S01010310
213586,S01010224
213587,S01010224
213588,S01010340
213589,S01010246
213590,S01010150
213591,S01010157
213592,S01010156
213593,S01010165
213594,S01010123
213595,S01010120
213596,S01010120
213597,S01010127
213598,S01010127
213599,S01010347
213600,S01010342
213601,S01010342
213602,S01010342
213603,S01010069
213604,S01010073
213605,S01010082
213606,S01009967
213607,S01010492
213608,S01010081
213609,S01010182
213610,S01010182
213611,S01010193
213612,S01009932
213613,S01009915
213614,S01009914
213615,S01009915
213616,S01009915
213617,S01009915
213618,S01009915
213619,S01009912
213620,S01009879
213621,S01009913
213622,S01009879
213623,S01009914
213624,S01009914
213625,S01009874
213626,S01009874
213627,S01009874
213628,S01009874
213629,S01009873
213630,S01009880
213631,S01009879
213632,S01009879
213633,S01009877
213634,S01009877
213635,S01009877
213636,S01009877
213637,S01010014
213638,S01009954
213639,S01009954
213640,S01009953
213641,S01009952
213642,S01009955
213643,S01009957
213644,S01009957
213645,S01009951
213646,S01009956
213647,S01009951
213648,S01009959
213649,S01009960
213650,S01009959
213651,S01009962
213652,S01010108
213653,S01010245
213654,S01010188
213655,S01010216
213656,S01010130
213657,S01009967
213658,S01010503
213659,S01009922
213660,S01009897
213661,S01010244
213662,S01010503
213663,S01010130
213664,S01010216
213665,S01009914
213666,S01010002
213667,S01009966
213668,S01010244
213669,S01010500
213670,S01010130
213671,S01010217
213672,S01010121
213673,S01009929
213674,S01009999
213675,S01010256
213676,S01010209
213677,S01010125
213678,S01009957
213679,S01010125
213680,S01009999
213681,S01010256
213682,S01009950
213683,S01010216
213684,S01010128
213685,S01010000
213686,S01010256
213687,S01009960
213688,S01010185
213689,S01010129
213690,S01009967
213691,S01010255
213692,S01009963
213693,S01009995
213694,S01009995
213695,S01009761
213696,S01009830
213697,S01009807
213698,S01010093
213699,S01010088
213700,S01010191
213701,S01010473
213702,S01010487
213703,S01010334
213704,S01010343
213705,S01010247
213706,S01010146
213707,S01010066
213708,S01010076
213709,S01010115
213710,S01010170
213711,S01009897
213712,S01009949
213713,S01009961
213714,S01009962
213715,S01010004
213716,S01010012
213717,S01009968
213718,S01009971
213719,S01009846
213720,S01009846
213721,S01009834
213722,S01009802
213723,S01010094
213724,S01010095
213725,S01010093
213726,S01010485
213727,S01009766
213728,S01009796
213729,S01010438
213730,S01010225
213731,S01010203
213732,S01010310
213733,S01010333
213734,S01010064
213735,S01010256
213736,S01010202
213737,S01010010
213738,S01010256
213739,S01010212
213740,S01010212
213741,S01010212
213742,S01010129
213743,S01010212
213744,S01009989
213745,S01010120
213746,S01010211
213747,S01010253
213748,S01009968
213749,S01010211
213750,S01010243
213751,S01010120
213752,S01009990
213753,S01010204
213754,S01010213
213755,S01010204
213756,S01010207
213757,S01010207
213758,S01010313
213759,S01010313
213760,S01010312
213761,S01010311
213762,S01010224
213763,S01010224
213764,S01010224
213765,S01010323
213766,S01010224
213767,S01010326
213768,S01010326
213769,S01010326
213770,S01010328
213771,S01010218
213772,S01010218
213773,S01010215
213774,S01010215
213775,S01010215
213776,S01010215
213777,S01010324
213778,S01010333
213779,S01010330
213780,S01010330
213781,S01010338
213782,S01010344
213783,S01010344
213784,S01010336
213785,S01010338
213786,S01010336
213787,S01010336
213788,S01010349
213789,S01010349
213790,S01009990
213791,S01010120
213792,S01010246
213793,S01009994
213794,S01010241
213795,S01010120
213796,S01009993
213797,S01010050
213798,S01010166
213799,S01009993
213800,S01010050
213801,S01010171
213802,S01009995
213803,S01010052
213804,S01010171
213805,S01010171
213806,S01010167
213807,S01010169
213808,S01010167
213809,S01010171
213810,S01010121
213811,S01010110
213812,S01010112
213813,S01010112
213814,S01010110
213815,S01010117
213816,S01010113
213817,S01010113
213818,S01010114
213819,S01010107
213820,S01010106
213821,S01010106
213822,S01010108
213823,S01010111
213824,S01010111
213825,S01010110
213826,S01010046
213827,S01010044
213828,S01010043
213829,S01010055
213830,S01010038
213831,S01010054
213832,S01010047
213833,S01010043
213834,S01009874
213835,S01009874
213836,S01009874
213837,S01009874
213838,S01009871
213839,S01009997
213840,S01009996
213841,S01009971
213842,S01009871
213843,S01009832
213844,S01009831
213845,S01009821
213846,S01009816
213847,S01009772
213848,S01009772
213849,S01009793
213850,S01010090
213851,S01010500
213852,S01010348
213853,S01010343
213854,S01010188
213855,S01009763
213856,S01009880
213857,S01010088
213858,S01010051
213859,S01010091
213860,S01009763
213861,S01009761
213862,S01009793
213863,S01010096
213864,S01010101
213865,S01010322
213866,S01010460
213867,S01010365
213868,S01010410
213869,S01010411
213870,S01010214
213871,S01010229
