,LSOA11CD
172535,S01007540
172536,S01007539
172537,S01007539
172538,S01007537
172539,S01007537
172540,S01007534
172541,S01007535
172542,S01007535
172543,S01007513
172544,S01007515
172545,S01007515
172546,S01007666
172547,S01007672
172548,S01007663
172549,S01007672
172550,S01007680
172551,S01007680
172552,S01007613
172553,S01007614
172554,S01007606
172555,S01007593
172556,S01007635
172557,S01007633
172558,S01007633
172559,S01007644
172560,S01007600
172561,S01007570
172562,S01007639
172563,S01007613
172564,S01007570
172565,S01007575
172566,S01007498
172567,S01007604
172568,S01007636
172569,S01007562
172570,S01007638
172571,S01007606
172572,S01007483
172573,S01007544
172574,S01007579
172575,S01007636
172576,S01007605
172577,S01007483
172578,S01007545
172579,S01007647
172580,S01007582
172581,S01007557
172582,S01007625
172583,S01007520
172584,S01007541
172585,S01007543
172586,S01007624
172587,S01007611
172588,S01007539
172589,S01007619
172590,S01007534
172591,S01007585
172592,S01007609
172593,S01007614
172594,S01007618
172595,S01007518
172596,S01007518
172597,S01007518
172598,S01007518
172599,S01007513
172600,S01007665
172601,S01007665
172602,S01007668
172603,S01007668
172604,S01007668
172605,S01007660
172606,S01007661
172607,S01007670
172608,S01007674
172609,S01007674
172610,S01007678
172611,S01007678
172612,S01007599
172613,S01007593
172614,S01007584
172615,S01007574
172616,S01007594
172617,S01007594
172618,S01007654
172619,S01007619
172620,S01007618
172621,S01007618
172622,S01007618
172623,S01007637
172624,S01007637
172625,S01007633
172626,S01007561
172627,S01007561
172628,S01007561
172629,S01007643
172630,S01007643
172631,S01007557
172632,S01007557
172633,S01007557
172634,S01007557
172635,S01007556
172636,S01007617
172637,S01007652
172638,S01007639
172639,S01007567
172640,S01007594
172641,S01007675
172642,S01007639
172643,S01007593
172644,S01007544
172645,S01007612
172646,S01007544
172647,S01007632
172648,S01007677
172649,S01007609
172650,S01007533
172651,S01007633
172652,S01007619
172653,S01007617
172654,S01007668
172655,S01007611
172656,S01007574
172657,S01007574
172658,S01007619
172659,S01007617
172660,S01007632
172661,S01007599
172662,S01007608
172663,S01007604
172664,S01007681
172665,S01007641
172666,S01007595
172667,S01007569
172668,S01007565
172669,S01007561
172670,S01007563
172671,S01007562
172672,S01007549
172673,S01007548
172674,S01007548
172675,S01007513
172676,S01007508
172677,S01007504
172678,S01007497
172679,S01007499
172680,S01007511
172681,S01007511
172682,S01007510
172683,S01007525
172684,S01007507
172685,S01007490
172686,S01007488
172687,S01007492
172688,S01007493
172689,S01007493
172690,S01007617
172691,S01007550
172692,S01007630
172693,S01007671
172694,S01007514
172695,S01007600
172696,S01007613
172697,S01007635
172698,S01007601
172699,S01007635
172700,S01007503
172701,S01007648
172702,S01007636
172703,S01007663
172704,S01007579
172705,S01007642
172706,S01007538
172707,S01007550
172708,S01007519
172709,S01007572
172710,S01007486
172711,S01007488
172712,S01007611
172713,S01007612
172714,S01007584
172715,S01007583
172716,S01007583
172717,S01007583
172718,S01007578
172719,S01007600
172720,S01007609
172721,S01007542
172722,S01007611
172723,S01007611
172724,S01007612
172725,S01007616
172726,S01007583
172727,S01007583
172728,S01007592
172729,S01007592
172730,S01007644
172731,S01007641
172732,S01007658
172733,S01007671
172734,S01007537
172735,S01007612
172736,S01007674
172737,S01007600
172738,S01007609
172739,S01007611
172740,S01007601
172741,S01007592
172742,S01007586
172743,S01007582
172744,S01007581
172745,S01007557
172746,S01007553
172747,S01007554
172748,S01007553
172749,S01007660
172750,S01007490
172751,S01007585
172752,S01007579
172753,S01007619
172754,S01007677
172755,S01007598
172756,S01007569
172757,S01007528
172758,S01007525
172759,S01007492
172760,S01007520
172761,S01007541
172762,S01007541
172763,S01007537
172764,S01007636
172765,S01007649
172766,S01007556
172767,S01007522
172768,S01007515
172769,S01007681
172770,S01007517
172771,S01007608
172772,S01007611
172773,S01007616
172774,S01007589
172775,S01007583
172776,S01007611
172777,S01007648
172778,S01007659
172779,S01007516
172780,S01007679
172781,S01007490
172782,S01007487
172783,S01007489
172784,S01007489
172785,S01007536
172786,S01007513
172787,S01007668
172788,S01007665
172789,S01007663
172790,S01007663
172791,S01007660
172792,S01007674
172793,S01007678
172794,S01007609
172795,S01007574
172796,S01007575
172797,S01007574
172798,S01007574
172799,S01007574
172800,S01007600
172801,S01007537
172802,S01007610
172803,S01007580
172804,S01007528
172805,S01007492
172806,S01007484
172807,S01007624
172808,S01008017
172809,S01007615
172810,S01007530
172811,S01007637
172812,S01007553
172813,S01007612
172814,S01007627
172815,S01007526
172816,S01007657
172817,S01007654
172818,S01007646
172819,S01007566
172820,S01007595
172821,S01007565
172822,S01007510
172823,S01007529
172824,S01007613
172825,S01007628
172826,S01007521
172827,S01007515
172828,S01007491
172829,S01007595
172830,S01007524
172831,S01007498
172832,S01007676
172833,S01007634
172834,S01007651
172835,S01007652
172836,S01007659
172837,S01007659
172838,S01007651
172839,S01007568
172840,S01007568
172841,S01007597
172842,S01007629
172843,S01007595
172844,S01007572
172845,S01007563
172846,S01007563
172847,S01007562
172848,S01007549
172849,S01007558
172850,S01007558
172851,S01007545
172852,S01007546
172853,S01007531
172854,S01007532
172855,S01007533
172856,S01007605
172857,S01008017
172858,S01007612
172859,S01007587
172860,S01007615
172861,S01007549
172862,S01007530
172863,S01007996
172864,S01007606
172865,S01007526
172866,S01007624
172867,S01007672
172868,S01007545
172869,S01007997
172870,S01007621
172871,S01007652
172872,S01007532
172873,S01007528
172874,S01007548
172875,S01007997
172876,S01007636
172877,S01007679
172878,S01007591
172879,S01007523
172880,S01007629
172881,S01007585
172882,S01007637
172883,S01007648
172884,S01007642
172885,S01007648
172886,S01007589
172887,S01007490
172888,S01007481
172889,S01007666
172890,S01007667
172891,S01007667
172892,S01007680
172893,S01007680
172894,S01007600
172895,S01007604
172896,S01007607
172897,S01007607
172898,S01007608
172899,S01007550
172900,S01007487
172901,S01007624
172902,S01008030
172903,S01007605
172904,S01007602
172905,S01007602
172906,S01007605
172907,S01007605
172908,S01007590
172909,S01007590
172910,S01007585
172911,S01007594
172912,S01007623
172913,S01007621
172914,S01007621
172915,S01007620
172916,S01007620
172917,S01007625
172918,S01007675
172919,S01007624
172920,S01007670
172921,S01007492
172922,S01007481
172923,S01007680
172924,S01007680
172925,S01007615
172926,S01007608
172927,S01007608
172928,S01007620
172929,S01007621
172930,S01007625
172931,S01007533
172932,S01007932
172933,S01007487
172934,S01007538
172935,S01007595
172936,S01007488
172937,S01007491
172938,S01007551
172939,S01008018
172940,S01007629
172941,S01007484
172942,S01007547
172943,S01007523
172944,S01007509
172945,S01007912
172946,S01007517
172947,S01007514
172948,S01007550
172949,S01007498
172950,S01007519
172951,S01007505
172952,S01007672
172953,S01007932
172954,S01007499
172955,S01007514
172956,S01007512
172957,S01007499
172958,S01007626
172959,S01007495
172960,S01008028
172961,S01007543
172962,S01007662
172963,S01007535
172964,S01007509
172965,S01007494
172966,S01007875
172967,S01007535
172968,S01007653
172969,S01007623
172970,S01007568
172971,S01007544
172972,S01007531
172973,S01007497
172974,S01007539
172975,S01007585
172976,S01007676
172977,S01007676
172978,S01007645
172979,S01007631
172980,S01007640
172981,S01007671
172982,S01007654
172983,S01007653
172984,S01007655
172985,S01007655
172986,S01007659
172987,S01007675
172988,S01007651
172989,S01007650
172990,S01007568
172991,S01007567
172992,S01007630
172993,S01007594
172994,S01007595
172995,S01007572
172996,S01007572
172997,S01007564
172998,S01007569
172999,S01007563
173000,S01007563
173001,S01007562
173002,S01007562
173003,S01007567
173004,S01007546
173005,S01007545
173006,S01007544
173007,S01007923
173008,S01007508
173009,S01007662
173010,S01007664
173011,S01007491
173012,S01007886
173013,S01007660
173014,S01007506
173015,S01007506
173016,S01007502
173017,S01007527
173018,S01007895
173019,S01007503
173020,S01007670
173021,S01007522
173022,S01007502
173023,S01008008
173024,S01007503
173025,S01007670
173026,S01007522
173027,S01007679
173028,S01007489
173029,S01007957
173030,S01007669
173031,S01007572
173032,S01007503
173033,S01007498
173034,S01007959
173035,S01007610
173036,S01007578
173037,S01007610
173038,S01007484
173039,S01007959
173040,S01007639
173041,S01007502
173042,S01007611
173043,S01007483
173044,S01007948
173045,S01007632
173046,S01007947
173047,S01007612
173048,S01007552
173049,S01007496
173050,S01007482
173051,S01007946
173052,S01007616
173053,S01007553
173054,S01007501
173055,S01007543
173056,S01007942
173057,S01007496
173058,S01007615
173059,S01007554
173060,S01007542
173061,S01008030
173062,S01007497
173063,S01007928
173064,S01007541
173065,S01007495
173066,S01007554
173067,S01007932
173068,S01007541
173069,S01007495
173070,S01007552
173071,S01007931
173072,S01007591
173073,S01007534
173074,S01007495
173075,S01007491
173076,S01008032
173077,S01007592
173078,S01007894
173079,S01007514
173080,S01007493
173081,S01007494
173082,S01007592
173083,S01007904
173084,S01007515
173085,S01007579
173086,S01007662
173087,S01007882
173088,S01007908
173089,S01007589
173090,S01007675
