FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value
S01006357,S01006357,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004894,S01004894,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01006360,S01006360,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001732,S01001732,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001731,S01001731,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004142,S01004142,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001733,S01001733,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,3
S01004141,S01004141,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004893,S01004893,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01006359,S01006359,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,5
S01004149,S01004149,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,3
S01001715,S01001715,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006371,S01006371,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001714,S01001714,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004889,S01004889,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01006369,S01006369,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01006370,S01006370,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,5
S01001716,S01001716,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,3
S01001711,S01001711,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004150,S01004150,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001710,S01001710,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006373,S01006373,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001712,S01001712,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,3
S01001713,S01001713,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
