"","LSOA11CD"
"1153","E01012178"
"1154","E01012183"
"1155","E01012186"
"1156","E01032548"
"1157","E01032549"
"1158","E01032594"
"1159","E01012111"
"1160","E01033470"
"1161","E01032560"
"1162","E01032560"
"1163","E01032560"
"1164","E01012106"
"1165","E01012108"
"1166","E01012110"
"1167","E01012120"
"1168","E01012120"
"1169","E01033472"
"1170","E01033472"
"1171","E01012129"
"1172","E01012129"
"1173","E01012130"
"1174","E01012131"
"1175","E01012132"
"1176","E01012141"
"1177","E01012141"
"1178","E01012141"
"1179","E01012138"
"1180","E01012139"
"1181","E01012144"
"1182","E01012147"
"1183","E01012149"
"1184","E01012146"
"1185","E01012146"
"1186","E01012146"
"1187","E01012149"
"1188","E01012147"
"1189","E01012147"
"1190","E01012149"
"1191","E01032594"
"1192","E01012151"
"1193","E01012151"
"1194","E01012152"
"1195","E01012152"
"1196","E01012152"
"1197","E01012156"
"1198","E01012157"
"1199","E01012156"
"1200","E01012156"
"1201","E01033473"
"1202","E01012143"
"1203","E01012143"
"1204","E01012143"
"1205","E01012148"
"1206","E01012148"
"1207","E01012150"
"1208","E01012150"
"1209","E01012150"
"1210","E01012165"
"1211","E01012170"
"1212","E01012170"
"1213","E01012170"
"1214","E01012175"
"1215","E01012175"
"1216","E01012171"
"1217","E01033470"
"1218","E01033471"
"1219","E01032561"
"1220","E01012191"
"1221","E01012206"
"1222","E01012213"
"1223","E01032542"
"1224","E01012200"
"1225","E01012200"
"1226","E01012211"
"1227","E01012224"
"1228","E01012236"
"1229","E01012246"
"1230","E01012270"
"1231","E01012206"
"1232","E01012205"
"1233","E01012248"
"1234","E01012248"
"1235","E01012250"
"1236","E01012253"
"1237","E01012256"
"1238","E01012259"
"1239","E01012281"
"1240","E01012281"
"1241","E01012278"
"1242","E01012289"
"1243","E01012283"
"1244","E01012240"
"1245","E01032544"
"1246","E01012216"
"1247","E01033477"
"1248","E01012191"
"1249","E01012206"
"1250","E01012281"
"1251","E01033474"
"1252","E01012225"
"1253","E01012283"
"1254","E01012193"
"1255","E01012258"
"1256","E01012202"
"1257","E01012254"
"1258","E01012260"
"1259","E01033477"
"1260","E01033477"
"1261","E01012267"
"1262","E01012288"
"1263","E01012288"
"1264","E01012217"
"1265","E01012238"
"1266","E01012239"
"1267","E01012239"
"1268","E01012239"
"1269","E01012238"
"1270","E01012250"
"1271","E01012251"
"1272","E01012251"
"1273","E01012264"
"1274","E01012271"
"1275","E01012287"
"1276","E01012198"
"1277","E01012214"
"1278","E01032542"
"1279","E01012254"
"1280","E01012199"
"1281","E01012223"
"1282","E01012279"
"1283","E01012193"
"1284","E01012228"
"1285","E01012264"
"1286","E01012291"
"1287","E01012291"
"1288","E01012191"
"1289","E01012192"
"1290","E01012196"
"1291","E01012216"
"1292","E01032544"
"1293","E01032543"
"1294","E01012245"
"1295","E01012249"
"1296","E01012253"
"1297","E01012273"
"1298","E01012275"
"1299","E01012277"
"1300","E01012284"
"1301","E01012277"
"1302","E01032544"
"1303","E01012210"
"1304","E01012230"
"1305","E01012230"
"1306","E01012299"
"1307","E01033474"
"1308","E01033474"
"1309","E01012207"
"1310","E01033480"
"1311","E01012291"
"1312","E01012302"
"1313","E01012240"
"1314","E01033477"
"1315","E01012243"
"1316","E01012198"
"1317","E01012195"
"1318","E01012199"
"1319","E01012242"
"1320","E01012196"
"1321","E01012195"
"1322","E01012204"
"1323","E01012206"
"1324","E01012204"
"1325","E01012204"
"1326","E01012212"
"1327","E01012212"
"1328","E01012226"
"1329","E01012226"
"1330","E01012226"
"1331","E01012236"
"1332","E01012235"
"1333","E01012235"
"1334","E01012255"
"1335","E01012256"
"1336","E01012255"
"1337","E01012255"
"1338","E01012269"
"1339","E01012275"
"1340","E01012294"
"1341","E01033480"
"1342","E01012237"
"1343","E01033480"
"1344","E01033480"
"1345","E01012301"
"1346","E01012301"
"1347","E01012302"
"1348","E01012303"
"1349","E01012298"
"1350","E01012269"
"1351","E01012294"
"1352","E01012294"
"1353","E01012285"
"1354","E01012233"
"1355","E01012233"
"1356","E01012269"
"1357","E01012269"
"1358","E01033480"
"1359","E01012266"
"1360","E01012194"
"1361","E01012202"
"1362","E01012217"
"1363","E01012217"
"1364","E01012217"
"1365","E01012299"
"1366","E01012299"
"1367","E01012299"
"1368","E01012264"
"1369","E01012292"
"1370","E01012264"
"1371","E01033474"
"1372","E01012242"
"1373","E01012257"
"1374","E01012261"
"1375","E01012261"
"1376","E01012284"
"1377","E01012290"
"1378","E01012215"
"1379","E01012297"
"1380","E01012264"
"1381","E01012195"
"1382","E01012200"
"1383","E01012192"
"1384","E01012206"
"1385","E01012256"
"1386","E01012268"
"1387","E01012285"
"1388","E01012300"
"1389","E01033477"
"1390","E01012262"
"1391","E01012267"
"1392","E01012288"
"1393","E01012288"
"1394","E01033477"
"1395","E01012254"
"1396","E01012262"
"1397","E01033477"
"1398","E01012262"
"1399","E01012266"
"1400","E01012288"
"1401","E01012286"
"1402","E01012286"
"1403","E01012286"
"1404","E01012262"
"1405","E01012264"
"1406","E01012240"
"1407","E01012238"
"1408","E01012238"
"1409","E01012245"
"1410","E01012248"
"1411","E01012249"
"1412","E01012258"
"1413","E01012275"
"1414","E01012284"
"1415","E01012283"
"1416","E01012296"
"1417","E01012266"
"1418","E01012267"
"1419","E01012276"
"1420","E01012228"
"1421","E01012214"
"1422","E01032543"
"1423","E01012231"
"1424","E01012214"
"1425","E01012248"
"1426","E01012234"
"1427","E01012215"
"1428","E01012214"
"1429","E01012215"
"1430","E01012216"
"1431","E01012214"
"1432","E01012219"
"1433","E01012219"
"1434","E01032543"
"1435","E01012249"
"1436","E01012247"
"1437","E01012247"
"1438","E01012253"
"1439","E01012273"
"1440","E01012274"
"1441","E01012274"
"1442","E01012271"
"1443","E01012277"
"1444","E01012275"
"1445","E01012280"
"1446","E01012295"
"1447","E01012300"
"1448","E01012292"
"1449","E01012187"
"1450","E01012194"
"1451","E01012198"
"1452","E01012200"
"1453","E01012207"
"1454","E01012209"
"1455","E01012215"
"1456","E01012227"
"1457","E01012241"
"1458","E01012239"
"1459","E01012245"
"1460","E01012242"
"1461","E01012253"
"1462","E01012259"
"1463","E01012268"
"1464","E01012270"
"1465","E01012270"
"1466","E01012270"
"1467","E01012272"
"1468","E01012277"
"1469","E01012277"
"1470","E01012277"
"1471","E01012254"
"1472","E01012234"
"1473","E01012252"
"1474","E01012228"
"1475","E01012258"
"1476","E01012237"
"1477","E01012264"
"1478","E01033478"
"1479","E01012282"
"1480","E01012230"
"1481","E01012232"
"1482","E01012233"
"1483","E01012234"
"1484","E01012234"
"1485","E01012234"
"1486","E01012233"
"1487","E01012237"
"1488","E01012237"
"1489","E01012246"
"1490","E01012295"
"1491","E01012297"
"1492","E01012297"
"1493","E01012303"
"1494","E01012298"
