DZ,DZname,SIMD2020v2_Rank,SIMD2020v2_Vigintile,SIMD2020v2_Decile,SIMD2020v2_Quintile,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank,Population,Working_Age_Population,URclass,URname,IZcode,IZname,LAcode,LAname,HBcode,HBname,MMWcode,MMWname,SPCcode,SPCname
S01006564,Rosemount - 01,3336,10,5,3,3294,3088,2578,3595,6560,2221,608,1007,791,1,Large Urban Areas,S02001246,Rosemount,S12000033,Aberdeen City,S08000020,Grampian,S13002841,Midstocket/Rosemount,S16000074,Aberdeen Central
S01006565,Rosemount - 02,3653,11,6,3,3675,3803,2041,4499,5613,3067,140,1000,888,1,Large Urban Areas,S02001246,Rosemount,S12000033,Aberdeen City,S08000020,Grampian,S13002841,Midstocket/Rosemount,S16000074,Aberdeen Central
S01006566,Rosemount - 03,5826,17,9,5,4950,5202,5650,5938,6722,2545,1947,761,618,1,Large Urban Areas,S02001246,Rosemount,S12000033,Aberdeen City,S08000020,Grampian,S13002841,Midstocket/Rosemount,S16000074,Aberdeen Central
S01006567,Rosemount - 04,2656,8,4,2,2757,2013,3539,3028,6205,1695,275,744,607,1,Large Urban Areas,S02001246,Rosemount,S12000033,Aberdeen City,S08000020,Grampian,S13002841,Midstocket/Rosemount,S16000074,Aberdeen Central
S01006568,Rosemount - 05,5931,18,9,5,5946,5682,4018,6234,6846,2570,649,921,823,1,Large Urban Areas,S02001246,Rosemount,S12000033,Aberdeen City,S08000020,Grampian,S13002841,Midstocket/Rosemount,S16000074,Aberdeen Central
S01006569,Rosemount - 06,5320,16,8,4,4657,4000,6566,4850,6720,3977,1285,561,444,1,Large Urban Areas,S02001246,Rosemount,S12000033,Aberdeen City,S08000020,Grampian,S13002841,Midstocket/Rosemount,S16000074,Aberdeen Central
S01006570,Rosemount - 07,6963,20,10,5,6712,6683,6727,6906,6493,4688,4238,739,537,1,Large Urban Areas,S02001246,Rosemount,S12000033,Aberdeen City,S08000020,Grampian,S13002844,Hazlehead/Queens Cross/Countesswells,S16000074,Aberdeen Central
S01006571,West End North - 01,6414,19,10,5,6029,6230,6699,6727,6283,715,3853,911,635,1,Large Urban Areas,S02001247,West End North,S12000033,Aberdeen City,S08000020,Grampian,S13002844,Hazlehead/Queens Cross/Countesswells,S16000074,Aberdeen Central
S01006572,West End North - 02,6930,20,10,5,6953,6902,6972,6924,3422,4036,6285,957,622,1,Large Urban Areas,S02001247,West End North,S12000033,Aberdeen City,S08000020,Grampian,S13002844,Hazlehead/Queens Cross/Countesswells,S16000074,Aberdeen Central
S01006573,West End North - 03,6974,20,10,5,6702,6895,6804,6893,5395,5882,6618,790,535,1,Large Urban Areas,S02001247,West End North,S12000033,Aberdeen City,S08000020,Grampian,S13002844,Hazlehead/Queens Cross/Countesswells,S16000074,Aberdeen Central
S01006574,West End North - 04,6865,20,10,5,6496,6928,6916,6841,4775,2159,6086,1017,661,1,Large Urban Areas,S02001247,West End North,S12000033,Aberdeen City,S08000020,Grampian,S13002844,Hazlehead/Queens Cross/Countesswells,S16000074,Aberdeen Central
S01006575,West End South - 01,6960,20,10,5,6922,6933,6934,6933,4584,4482,5762,981,697,1,Large Urban Areas,S02001248,West End South,S12000033,Aberdeen City,S08000020,Grampian,S13002844,Hazlehead/Queens Cross/Countesswells,S16000074,Aberdeen Central
S01006576,West End South - 02,6515,19,10,5,6639,5841,6769,6599,4761,1411,4755,730,527,1,Large Urban Areas,S02001248,West End South,S12000033,Aberdeen City,S08000020,Grampian,S13002844,Hazlehead/Queens Cross/Countesswells,S16000074,Aberdeen Central
S01006577,West End South - 03,6717,20,10,5,6239,5906,6628,6258,6279,4208,1826,814,608,1,Large Urban Areas,S02001248,West End South,S12000033,Aberdeen City,S08000020,Grampian,S13002844,Hazlehead/Queens Cross/Countesswells,S16000074,Aberdeen Central
S01006578,West End South - 04,5471,16,8,4,5174,5030,4547,5273,6265,3517,566,1105,950,1,Large Urban Areas,S02001248,West End South,S12000033,Aberdeen City,S08000020,Grampian,S13002844,Hazlehead/Queens Cross/Countesswells,S16000074,Aberdeen Central
S01006579,West End South - 05,6411,19,10,5,5893,5714,5799,6631,6301,3656,1024,1048,922,1,Large Urban Areas,S02001248,West End South,S12000033,Aberdeen City,S08000020,Grampian,S13002844,Hazlehead/Queens Cross/Countesswells,S16000074,Aberdeen Central
S01006580,West End South - 06,6296,19,10,5,5526,5502.5,6547,6181,6215,3888,1196,724,585,1,Large Urban Areas,S02001248,West End South,S12000033,Aberdeen City,S08000020,Grampian,S13002844,Hazlehead/Queens Cross/Countesswells,S16000074,Aberdeen Central
S01006581,West End South - 07,6967,20,10,5,6939,6721,6844,6786,4704,6323,6019,949,648,1,Large Urban Areas,S02001248,West End South,S12000033,Aberdeen City,S08000020,Grampian,S13002844,Hazlehead/Queens Cross/Countesswells,S16000074,Aberdeen Central
S01006582,City Centre West - 01,3921,12,6,3,5328,5465.5,1721,6144,4563,12,722,820,705,1,Large Urban Areas,S02001249,City Centre West,S12000033,Aberdeen City,S08000020,Grampian,S13002846,Torry/Ferryhill,S16000074,Aberdeen Central
S01006583,City Centre West - 02,5250,16,8,4,5114,6067,1880,6666,5730,2950,1568,695,616,1,Large Urban Areas,S02001249,City Centre West,S12000033,Aberdeen City,S08000020,Grampian,S13002846,Torry/Ferryhill,S16000074,Aberdeen Central
S01006584,City Centre West - 03,6357,19,10,5,6420,6009,4634,6670,6572,2961,640,612,534,1,Large Urban Areas,S02001249,City Centre West,S12000033,Aberdeen City,S08000020,Grampian,S13002841,Midstocket/Rosemount,S16000074,Aberdeen Central
S01006585,City Centre West - 04,2375,7,4,2,2989,2304,3097,2276,6171,208,394,831,651,1,Large Urban Areas,S02001249,City Centre West,S12000033,Aberdeen City,S08000020,Grampian,S13002841,Midstocket/Rosemount,S16000074,Aberdeen Central
S01006586,City Centre West - 05,3228,10,5,3,3878,4407,2926,3686,5174,15,286,1049,854,1,Large Urban Areas,S02001249,City Centre West,S12000033,Aberdeen City,S08000020,Grampian,S13002841,Midstocket/Rosemount,S16000074,Aberdeen Central
S01006587,City Centre East - 01,1562,5,3,2,2398,1866,1370,1922,4030,16,184,571,500,1,Large Urban Areas,S02001250,City Centre East,S12000033,Aberdeen City,S08000020,Grampian,S13002846,Torry/Ferryhill,S16000074,Aberdeen Central
S01006588,City Centre East - 02,3265,10,5,3,4588,4289,1656,5423,5881,7,77,626,571,1,Large Urban Areas,S02001250,City Centre East,S12000033,Aberdeen City,S08000020,Grampian,S13002842,George St/Harbour,S16000074,Aberdeen Central
S01006589,City Centre East - 03,3415,10,5,3,3779,3923,2848,5558,5486,89,250,680,572,1,Large Urban Areas,S02001250,City Centre East,S12000033,Aberdeen City,S08000020,Grampian,S13002842,George St/Harbour,S16000074,Aberdeen Central
S01006590,City Centre East - 04,2720,8,4,2,4034,3850,654,3970,5112,501,231,801,718,1,Large Urban Areas,S02001250,City Centre East,S12000033,Aberdeen City,S08000020,Grampian,S13002846,Torry/Ferryhill,S16000074,Aberdeen Central
