"DataZone","Name","Council","% of children in poverty"
"S01010053","Parkhead West and Barrowfield - 05","Glasgow City",50
"S01010054","Parkhead West and Barrowfield - 06","Glasgow City",29
"S01010055","Parkhead West and Barrowfield - 07","Glasgow City",39.5
"S01010056","Parkhead East and Braidfauld North - 01","Glasgow City",50
"S01010057","Parkhead East and Braidfauld North - 02","Glasgow City",26.7
"S01010058","Parkhead East and Braidfauld North - 03","Glasgow City",30.8
"S01010059","Parkhead East and Braidfauld North - 04","Glasgow City",22.5
"S01010060","Parkhead East and Braidfauld North - 05","Glasgow City",33.1
"S01010061","Braidfauld - 01","Glasgow City",28
"S01010062","Braidfauld - 02","Glasgow City",40.1
"S01010063","Braidfauld - 03","Glasgow City",44.8
"S01010064","Braidfauld - 04","Glasgow City",40.2
"S01010065","Braidfauld - 05","Glasgow City",33.3
"S01010066","Braidfauld - 06","Glasgow City",37.3
"S01010067","Braidfauld - 07","Glasgow City",49.4
"S01010068","Braidfauld - 08","Glasgow City",31.3
"S01010069","Shettleston South - 01","Glasgow City",21.1
"S01010070","Shettleston South - 02","Glasgow City",33.8
"S01010071","Shettleston South - 03","Glasgow City",19.8
"S01010072","Shettleston South - 04","Glasgow City",14.8
"S01010073","Shettleston South - 05","Glasgow City",15.6
"S01010074","Carmyle and Mount Vernon South - 01","Glasgow City",12.3
"S01010075","Carmyle and Mount Vernon South - 02","Glasgow City",21.8
"S01010076","Carmyle and Mount Vernon South - 03","Glasgow City",21.8
"S01010077","Carmyle and Mount Vernon South - 04","Glasgow City",36
"S01010078","Mount Vernon North and Sandyhills - 01","Glasgow City",22.2
"S01010079","Mount Vernon North and Sandyhills - 02","Glasgow City",5.3
"S01010080","Mount Vernon North and Sandyhills - 03","Glasgow City",25.3
"S01010081","Mount Vernon North and Sandyhills - 04","Glasgow City",9.3
"S01010082","Mount Vernon North and Sandyhills - 05","Glasgow City",4.9
"S01010083","Baillieston West - 01","Glasgow City",27.9
"S01010084","Baillieston West - 02","Glasgow City",46.7
"S01010085","Baillieston West - 03","Glasgow City",10.5
"S01010086","Baillieston West - 04","Glasgow City",29.2
"S01010087","Baillieston West - 05","Glasgow City",13.7
"S01010088","Baillieston East - 01","Glasgow City",8.1
"S01010089","Baillieston East - 02","Glasgow City",14.1
"S01010090","Baillieston East - 03","Glasgow City",28.7
"S01010091","Baillieston East - 04","Glasgow City",17.1
"S01010092","Baillieston East - 05","Glasgow City",25.8
"S01010093","Baillieston East - 06","Glasgow City",25.9
"S01010094","Garrowhill West - 01","Glasgow City",9.6
"S01010095","Garrowhill West - 02","Glasgow City",10.7
"S01010096","Garrowhill West - 03","Glasgow City",9.1
"S01010097","Garrowhill West - 04","Glasgow City",15.9
"S01010098","Garrowhill West - 05","Glasgow City",7.7
"S01010099","Garrowhill West - 06","Glasgow City",18.3
"S01010100","Garrowhill East and Swinton - 01","Glasgow City",21.7
"S01010101","Garrowhill East and Swinton - 02","Glasgow City",29.4
"S01010102","Garrowhill East and Swinton - 03","Glasgow City",22.1
"S01010103","Garrowhill East and Swinton - 04","Glasgow City",23.6
"S01010104","Garrowhill East and Swinton - 05","Glasgow City",11.2
"S01010105","Easterhouse East - 01","Glasgow City",46.2
"S01010106","Easterhouse East - 02","Glasgow City",28.9
"S01010107","Easterhouse East - 03","Glasgow City",42.5
"S01010108","Easterhouse East - 04","Glasgow City",31.2
"S01010109","Easterhouse East - 05","Glasgow City",30.9
"S01010110","Central Easterhouse - 01","Glasgow City",49
"S01010111","Central Easterhouse - 02","Glasgow City",49.3
"S01010112","Central Easterhouse - 03","Glasgow City",36.6
"S01010113","Garthamlock, Auchinlea and Gartloch - 01","Glasgow City",48.7
"S01010114","Garthamlock, Auchinlea and Gartloch - 02","Glasgow City",45.2
"S01010115","Garthamlock, Auchinlea and Gartloch - 03","Glasgow City",46.6
"S01010116","Garthamlock, Auchinlea and Gartloch - 04","Glasgow City",22.3
"S01010117","Garthamlock, Auchinlea and Gartloch - 05","Glasgow City",16.8
"S01010118","North Barlanark and Easterhouse South - 01","Glasgow City",30.6
"S01010119","North Barlanark and Easterhouse South - 02","Glasgow City",37.2
"S01010120","North Barlanark and Easterhouse South - 03","Glasgow City",50.5
"S01010121","North Barlanark and Easterhouse South - 04","Glasgow City",46
"S01010122","North Barlanark and Easterhouse South - 05","Glasgow City",46.2
"S01010123","Barlanark - 01","Glasgow City",38.5
"S01010124","Barlanark - 02","Glasgow City",37.5
"S01010125","Barlanark - 03","Glasgow City",44.9
"S01010126","Barlanark - 04","Glasgow City",26.1
"S01010127","Barlanark - 05","Glasgow City",22.9
"S01010128","Barlanark - 06","Glasgow City",52.6
"S01010129","Barlanark - 07","Glasgow City",55.9
"S01010130","Barlanark - 08","Glasgow City",17.4
"S01010131","Greenfield - 01","Glasgow City",5.6
"S01010132","Greenfield - 02","Glasgow City",31
"S01010133","Greenfield - 03","Glasgow City",25.6
"S01010134","Greenfield - 04","Glasgow City",29.6
"S01010135","Greenfield - 05","Glasgow City",21.6
"S01010136","Greenfield - 06","Glasgow City",32.3
"S01010137","Shettleston North - 01","Glasgow City",33.3
"S01010138","Shettleston North - 02","Glasgow City",26.4
"S01010139","Shettleston North - 03","Glasgow City",26.5
"S01010140","Shettleston North - 04","Glasgow City",16.9
"S01010141","Shettleston North - 05","Glasgow City",37.8
"S01010142","Tollcross - 01","Glasgow City",35.2
"S01010143","Tollcross - 02","Glasgow City",34.5
"S01010144","Tollcross - 03","Glasgow City",24.4
"S01010145","Tollcross - 04","Glasgow City",22.1
"S01010146","Tollcross - 05","Glasgow City",54.4
"S01010147","Old Shettleston and Parkhead North - 01","Glasgow City",52.7
"S01010148","Old Shettleston and Parkhead North - 02","Glasgow City",27.7
"S01010149","Old Shettleston and Parkhead North - 03","Glasgow City",22
"S01010150","Old Shettleston and Parkhead North - 04","Glasgow City",25.7
"S01010151","Old Shettleston and Parkhead North - 05","Glasgow City",35.6
"S01010152","Carntyne - 01","Glasgow City",20.4
"S01010153","Carntyne - 02","Glasgow City",20.8
"S01010154","Carntyne - 03","Glasgow City",39.4
"S01010155","Carntyne - 04","Glasgow City",24.7
"S01010156","Cranhill, Lightburn and Queenslie South - 01","Glasgow City",36.4
"S01010157","Cranhill, Lightburn and Queenslie South - 02","Glasgow City",32.4
"S01010158","Cranhill, Lightburn and Queenslie South - 03","Glasgow City",29.7
"S01010159","Cranhill, Lightburn and Queenslie South - 04","Glasgow City",41.8
"S01010160","Cranhill, Lightburn and Queenslie South - 05","Glasgow City",54.3
"S01010161","Cranhill, Lightburn and Queenslie South - 06","Glasgow City",33.7
"S01010162","Cranhill, Lightburn and Queenslie South - 07","Glasgow City",51.3
"S01010163","Cranhill, Lightburn and Queenslie South - 08","Glasgow City",33.8
"S01010164","Cranhill, Lightburn and Queenslie South - 09","Glasgow City",27.8
"S01010165","Craigend and Ruchazie - 01","Glasgow City",55.7
"S01010166","Craigend and Ruchazie - 02","Glasgow City",17.8
"S01010167","Craigend and Ruchazie - 03","Glasgow City",29.3
"S01010168","Craigend and Ruchazie - 04","Glasgow City",31.6
"S01010169","Craigend and Ruchazie - 05","Glasgow City",49
"S01010170","Craigend and Ruchazie - 06","Glasgow City",35.9
"S01010171","Craigend and Ruchazie - 07","Glasgow City",45.2
"S01010172","Riddrie and Hogganfield - 01","Glasgow City",29
